,root,majmin,majminbass,sevenths,seventhsbass,triads,triadsbass,tetrads,tetradsbass,segmentation,undersegmentation,oversegmentation
351,0.9204066390041493,0.8193236514522821,0.8162282157676349,0.7648215767634853,0.7617261410788381,0.8193236514522821,0.8162282157676349,0.7648215767634853,0.7617261410788381,0.9165933609958505,0.9165933609958505,0.9659419087136927
352,0.7787358490566034,0.7787358490566034,0.7787358490566034,0.7538820754716977,0.7538820754716977,0.7787358490566034,0.7787358490566034,0.7538820754716977,0.7538820754716977,0.8949433962264145,0.9212358490566033,0.8949433962264145
353,0.6168679245283022,0.6147804707774965,0.6013605803524004,0.6135132263890368,0.6000933359639407,0.611449056603774,0.5981018867924531,0.6101886792452834,0.5968415094339625,0.6802226415094343,0.6802226415094343,0.8980905660377356
354,0.8416683673469384,0.8410357142857141,0.8410357142857141,0.7801326530612243,0.7801326530612243,0.8410357142857141,0.8410357142857141,0.7801326530612243,0.7801326530612243,0.8705765306122446,0.8705765306122446,0.9314744897959182
355,0.9302268041237113,0.9233941800962346,0.9233941800962346,0.8341043742021366,0.8341043742021366,0.8976958762886599,0.8976958762886599,0.8133298969072167,0.8133298969072167,0.8976958762886598,0.8976958762886598,0.9540309278350516
356,0.958792405063291,0.9560784810126582,0.9560784810126582,0.8125974683544304,0.8125974683544304,0.9560784810126582,0.9560784810126582,0.8125974683544304,0.8125974683544304,0.836339240506329,0.9249594936708863,0.836339240506329
357,0.7795397489539752,0.7621597543407388,0.7482134733490032,0.6268623474107211,0.6250852983546896,0.7619121338912136,0.7495983263598328,0.6239205020920503,0.6223514644351466,0.7582887029288706,0.7582887029288706,0.8224225941422598
358,0.7367356687898092,0.7323095552257766,0.7140210656549538,0.4879321634579001,0.46964367388707734,0.708770700636943,0.6910700636942678,0.4722484076433123,0.45454777070063707,0.8103598726114652,0.8103598726114652,0.8468121019108281
359,0.8138765957446811,0.8138765957446811,0.8138765957446811,0.8138765957446811,0.8138765957446811,0.8138765957446811,0.8138765957446811,0.8138765957446811,0.8138765957446811,0.7957872340425536,0.7957872340425536,0.9358893617021284
360,0.6259491525423732,0.629227415940703,0.5500094311283127,0.5464426353051068,0.4662307749461329,0.6106406779661019,0.533762711864407,0.5235457627118647,0.4466949152542375,0.6389999999999996,0.6389999999999996,0.7989118644067793
361,0.9078095238095236,0.9078095238095236,0.8778994708994707,0.9078095238095236,0.8778994708994707,0.9078095238095236,0.8778994708994707,0.9078095238095236,0.8778994708994707,0.9115502645502644,0.9115502645502644,0.9409788359788359
362,0.5701771428571426,0.5701771428571426,0.5701771428571426,0.2480971428571427,0.2480971428571427,0.5701771428571426,0.5701771428571426,0.2480971428571427,0.2480971428571427,0.4462571428571427,0.4462571428571427,0.9543714285714283
363,0.863661341853035,0.863661341853035,0.8561661341853034,0.7980147858800087,0.7903269147583529,0.863661341853035,0.8561661341853034,0.7780159744408942,0.7705207667731627,0.7584153354632588,0.7584153354632588,0.9534440894568689
364,0.9499666666666661,0.9495273139519238,0.9495273139519238,0.5717387544914778,0.5717387544914778,0.9412619047619043,0.9412619047619043,0.5667619047619044,0.5667619047619044,0.6373523809523804,0.6373523809523804,0.9664095238095233
365,0.503202614379085,0.4342549019607843,0.4131437908496734,0.4342549019607843,0.4131437908496734,0.4342549019607843,0.4131437908496734,0.4342549019607843,0.4131437908496734,0.5069673202614381,0.5069673202614381,0.955849673202615
366,0.693767295597484,0.6610542632176027,0.6610542632176027,0.655876903358827,0.655876903358827,0.3701446540880501,0.3701446540880501,0.29609748427672933,0.29609748427672933,0.6878207547169813,0.6878207547169813,0.7813584905660377
367,0.8239460580912872,0.7497393861095032,0.7427050385352171,0.5836370116273893,0.5766026640531032,0.7249792531120338,0.7184273858921169,0.5436058091286311,0.537053941908714,0.8076348547717849,0.8076348547717849,0.9480788381742744
368,0.6724487179487177,0.650722222222222,0.650722222222222,0.6042606837606838,0.6042606837606838,0.650722222222222,0.650722222222222,0.6042606837606838,0.6042606837606838,0.8461752136752135,0.893008547008547,0.8461752136752135
